ID,FINISHED,TRACK TIME,BARRIER HITS,ROTATION ANGLE,SPEED,DOWN RAY
642,0,180,99,86,500,0.3
643,0,180,126,87,500,0.3
644,0,180,74,88,500,0.3
645,0,180,95,89,500,0.3
646,0,180,78,90,500,0.3
647,0,180,556,1,1000,0.849999
648,0,180,560,2,1000,0.53
649,0,180,477,3,1000,0.82
650,0,180,507,4,1000,0.01
651,0,180,397,5,1000,0.39
652,0,180,451,6,1000,0.79
653,0,180,422,7,1000,0.839999
654,0,180,401,8,1000,0.879999
655,0,180,429,9,1000,0.4
656,0,180,312,10,1000,0.73
657,0,180,309,11,1000,0.58
658,0,180,246,12,1000,0.27
659,0,180,366,13,1000,0.37
660,0,180,366,14,1000,0.75
661,0,180,276,15,1000,0.919999
662,0,180,383,16,1000,0.1
663,0,180,317,17,1000,0.5
664,0,180,190,18,1000,0.28
665,0,180,533,19,1000,0.06
666,0,180,199,20,1000,0.56
667,0,180,172,21,1000,0.26
668,0,180,403,22,1000,0.16
669,0,180,292,23,1000,0.27
670,0,180,297,24,1000,0.61
671,0,180,237,25,1000,0.22
672,0,180,252,26,1000,0.24
673,0,180,327,27,1000,0.23
674,0,180,257,28,1000,0.71
675,0,180,308,29,1000,0.26
676,0,180,547,30,1000,0.04
677,0,180,173,31,1000,0.4
678,0,180,369,32,1000,0.13
679,0,180,287,33,1000,0.24
680,0,180,249,34,1000,0.22
681,0,180,213,35,1000,0.24
682,0,180,498,36,1000,0.05
683,0,180,360,37,1000,0.23
684,0,180,230,38,1000,0.26
685,0,180,255,39,1000,0.25
686,0,180,166,40,1000,0.34
687,0,180,178,41,1000,0.43
688,0,180,547,42,1000,0.01
689,0,180,545,43,1000,-0.01
690,0,180,543,44,1000,-0.01
691,0,180,543,45,1000,-0.01
692,0,180,136,46,1000,0.32
693,0,180,217,47,1000,0.25
694,0,180,536,48,1000,-0.01
695,0,180,222,49,1000,0.22
696,0,180,263,50,1000,0.22
697,0,180,149,51,1000,0.37
698,0,180,529,52,1000,0.02
699,0,180,528,53,1000,0.02
700,0,180,544,54,1000,0.04
701,0,180,545,55,1000,0.04
702,0,180,190,56,1000,0.32
703,0,180,199,57,1000,0.29
704,0,180,549,58,1000,0.03
705,0,180,130,59,1000,0.33
706,0,180,135,60,1000,0.35
707,0,180,174,61,1000,0.24
708,0,180,131,62,1000,0.33
709,0,180,306,63,1000,0.29
710,0,180,550,64,1000,0.06
711,0,180,550,65,1000,0.03
712,0,180,510,66,1000,0.09
713,0,180,419,67,1000,0.19
714,0,180,122,68,1000,0.34
715,0,180,113,69,1000,0.33
716,0,180,145,70,1000,0.25
717,0,180,120,71,1000,0.33
718,0,180,158,72,1000,0.38
719,0,180,150,73,1000,0.32
720,0,180,141,74,1000,0.3
721,0,180,122,75,1000,0.3
722,0,180,160,76,1000,0.24
723,0,180,136,77,1000,0.3
724,0,180,129,78,1000,0.35
725,0,180,224,79,1000,0.21
726,0,180,131,80,1000,0.29
727,0,180,148,81,1000,0.29
728,0,180,132,82,1000,0.3
729,0,180,142,83,1000,0.3
730,0,180,139,84,1000,0.3
731,0,180,138,85,1000,0.31
732,0,180,342,86,1000,0.23
733,0,180,375,87,1000,0.24
734,0,180,141,88,1000,0.3
735,0,180,470,89,1000,0.01
736,0,180,139,90,1000,0.3
826,0,179,211,90,1500,0.29
825,0,179,142,89,1500,0.3
824,0,179,235,88,1500,0.3
823,0,179,141,87,1500,0.3
822,0,179,159,86,1500,0.28
821,0,179,187,85,1500,0.23
820,0,179,152,84,1500,0.31
819,0,179,146,83,1500,0.31
818,0,179,166,82,1500,0.28
817,0,179,177,81,1500,0.25
816,0,179,155,80,1500,0.33
815,0,179,145,79,1500,0.3
814,0,179,156,78,1500,0.33
813,0,179,220,77,1500,0.21
812,0,179,150,76,1500,0.32
811,0,179,144,75,1500,0.31
810,0,179,160,74,1500,0.3
809,0,179,172,73,1500,0.3
808,0,179,199,72,1500,0.3
807,0,179,150,71,1500,0.35
806,0,179,160,70,1500,0.32
805,0,179,245,69,1500,0.26
804,0,179,220,68,1500,0.25
803,0,179,486,67,1500,0.05
802,0,179,264,66,1500,0.18
801,0,179,485,65,1500,0.03
800,0,179,231,64,1500,0.3
799,0,179,482,63,1500,0.05
798,0,179,159,62,1500,0.35
797,0,179,150,61,1500,0.32
796,0,179,225,60,1500,0.29
795,0,179,214,59,1500,0.31
794,0,179,170,58,1500,0.33
793,0,179,177,57,1500,0.34
792,0,179,174,56,1500,0.36
791,0,179,199,55,1500,0.24
790,0,179,172,54,1500,0.36
789,0,179,177,53,1500,0.37
788,0,179,479,52,1500,-0.01
787,0,179,222,51,1500,0.27
786,0,179,216,50,1500,0.26
785,0,179,204,49,1500,0.3
784,0,179,196,48,1500,0.3
783,0,179,202,47,1500,0.36
782,0,179,232,46,1500,0.23
781,0,179,221,45,1500,0.34
780,0,179,184,44,1500,0.41
779,0,179,225,43,1500,0.22
778,0,179,238,42,1500,0.3
777,0,179,220,41,1500,0.29
776,0,179,213,40,1500,0.38
775,0,179,448,39,1500,0.11
774,0,179,367,38,1500,0.15
773,0,179,484,37,1500,0.03
772,0,179,98,36,1500,0.31
771,0,179,228,35,1500,0.58
770,0,179,484,34,1500,0.06
769,0,179,481,33,1500,0.02
768,0,179,257,32,1500,0.21
767,0,179,258,31,1500,0.63
766,0,179,269,30,1500,0.2
765,0,179,268,29,1500,0.69
764,0,179,322,28,1500,0.22
763,0,179,263,27,1500,0.54
762,0,179,323,26,1500,0.63
761,0,179,316,25,1500,1.009999
760,0,179,281,24,1500,0.27
759,0,179,481,23,1500,0.01
758,0,179,331,22,1500,0.36
757,0,179,356,21,1500,0.47
756,0,179,357,20,1500,0.42
755,0,179,350,19,1500,0.979999
754,0,179,383,18,1500,0.59
753,0,179,357,17,1500,0.899999
752,0,179,353,16,1500,0.63
751,0,179,480,15,1500,0.03
750,0,179,363,14,1500,0.66
749,0,179,345,13,1500,0.54
748,0,179,369,12,1500,0.949999
747,0,179,421,11,1500,0.45
746,0,179,390,10,1500,0.7
745,0,179,389,9,1500,0.72
744,0,179,428,8,1500,0.41
743,0,179,392,7,1500,0.939999
742,0,179,478,6,1500,0.02
741,0,179,389,5,1500,0.899999
740,0,179,458,4,1500,0.63
739,0,179,488,3,1500,0.64
738,0,179,503,2,1500,0.3
737,0,179,503,1,1500,0.01
827,0,180,502,1,2000,0.76
828,0,180,514,2,2000,0.74
829,0,180,514,3,2000,0.73
830,0,180,507,4,2000,0.69
831,0,180,487,5,2000,0.38
832,0,180,493,6,2000,0.53
833,0,180,409,7,2000,0.849999
834,0,180,427,8,2000,0.78
835,0,180,433,9,2000,0.859999
836,0,180,419,10,2000,0.849999
837,0,180,409,11,2000,0.74
838,0,180,415,12,2000,0.55
839,0,180,424,13,2000,0.8
840,0,180,411,14,2000,0.65
841,0,180,355,15,2000,0.59
842,0,180,388,16,2000,0.76
843,0,180,381,17,2000,0.63
844,0,180,422,18,2000,0.65
845,0,180,441,19,2000,0.49
846,0,180,488,20,2000,0.02
847,0,180,325,21,2000,0.57
848,0,180,377,22,2000,0.56
849,0,180,372,23,2000,0.929999
850,0,180,353,24,2000,0.81
851,0,180,323,25,2000,0.71
852,0,180,341,26,2000,0.63
853,0,180,503,27,2000,0.0
854,0,180,315,28,2000,0.57
855,0,180,276,29,2000,0.48
856,0,180,135,30,2000,0.28
857,0,180,334,31,2000,0.62
858,0,180,259,32,2000,0.32
859,0,180,290,33,2000,0.53
860,0,180,292,34,2000,0.39
861,0,180,295,35,2000,0.3
862,0,180,250,36,2000,0.31
863,0,180,238,37,2000,0.45
864,0,180,247,38,2000,0.29
865,0,180,257,39,2000,0.35
866,0,180,268,40,2000,0.32
867,0,180,231,41,2000,0.34
868,0,180,243,42,2000,0.47
869,0,180,219,43,2000,0.27
870,0,180,281,44,2000,0.989999
871,0,180,242,45,2000,0.34
872,0,180,207,46,2000,0.34
873,0,180,252,47,2000,0.21
874,0,180,254,48,2000,0.3
875,0,180,235,49,2000,0.26
876,0,180,125,50,2000,0.31
877,0,180,216,51,2000,0.32
878,0,180,259,52,2000,0.29
879,0,180,208,53,2000,0.32
880,0,180,195,54,2000,0.34
881,0,180,199,55,2000,0.34
882,0,180,234,56,2000,0.28
883,0,180,221,57,2000,0.28
884,0,180,217,58,2000,0.25
885,0,180,190,59,2000,0.34
886,0,180,205,60,2000,0.34
887,0,180,214,61,2000,0.2
888,0,180,199,62,2000,0.31
889,0,180,192,63,2000,0.34
890,0,180,181,64,2000,0.32
891,0,180,175,65,2000,0.3
892,0,180,181,66,2000,0.3
893,0,180,172,67,2000,0.3
894,0,180,168,68,2000,0.34
895,0,180,501,69,2000,0.02
896,0,180,244,70,2000,0.26
897,0,180,190,71,2000,0.3
898,0,180,186,72,2000,0.3
899,0,180,202,73,2000,0.33
900,0,180,204,74,2000,0.29
901,0,180,180,75,2000,0.27
902,0,180,207,76,2000,0.29
903,0,180,178,77,2000,0.33
904,0,180,223,78,2000,0.24
905,0,180,164,79,2000,0.3
906,0,180,170,80,2000,0.3
907,0,180,171,81,2000,0.3
908,0,180,172,82,2000,0.3
909,0,180,204,83,2000,0.2
910,0,180,162,84,2000,0.33
911,0,180,158,85,2000,0.32
912,0,180,147,86,2000,0.3
913,0,180,170,87,2000,0.29
914,0,180,196,88,2000,0.3
915,0,180,201,89,2000,0.3
916,0,180,248,90,2000,0.3
1006,0,180,278,90,2500,0.3
1005,0,180,291,89,2500,0.3
1004,0,180,237,88,2500,0.3
1003,0,180,215,87,2500,0.3
1002,0,180,164,86,2500,0.3
1001,0,180,168,85,2500,0.3
1000,0,180,216,84,2500,0.2
999,0,180,184,83,2500,0.3
998,0,180,178,82,2500,0.33
997,0,180,181,81,2500,0.33
996,0,180,228,80,2500,0.29
995,0,180,194,79,2500,0.3
994,0,180,172,78,2500,0.3
993,0,180,187,77,2500,0.31
992,0,180,214,76,2500,0.28
991,0,180,200,75,2500,0.28
990,0,180,187,74,2500,0.3
989,0,180,202,73,2500,0.31
988,0,180,202,72,2500,0.32
987,0,180,234,71,2500,0.49
986,0,180,185,70,2500,0.32
985,0,180,185,69,2500,0.31
984,0,180,186,68,2500,0.3
983,0,180,184,67,2500,0.3
982,0,180,270,66,2500,0.989999
981,0,180,204,65,2500,0.36
980,0,180,193,64,2500,0.31
979,0,180,207,63,2500,0.33
978,0,180,255,62,2500,0.23
977,0,180,194,61,2500,0.34
976,0,180,221,60,2500,0.32
975,0,180,216,59,2500,0.34
974,0,180,226,58,2500,0.26
973,0,180,245,57,2500,0.3
972,0,180,234,56,2500,0.31
971,0,180,237,55,2500,0.28
970,0,180,224,54,2500,0.27
969,0,180,250,53,2500,0.22
968,0,180,253,52,2500,0.52
967,0,180,253,51,2500,0.21
966,0,180,259,50,2500,0.27
965,0,180,257,49,2500,0.25
964,0,180,238,48,2500,0.29
963,0,180,241,47,2500,0.31
962,0,180,345,46,2500,0.24
961,0,180,259,45,2500,0.21
960,0,180,505,44,2500,0.01
959,0,180,236,43,2500,0.3
958,0,180,183,42,2500,0.44
957,0,180,259,41,2500,0.2
956,0,180,306,40,2500,0.36
955,0,180,319,39,2500,0.45
954,0,180,327,38,2500,0.6
953,0,180,315,37,2500,0.69
952,0,180,286,36,2500,0.31
951,0,180,341,35,2500,0.72
950,0,180,309,34,2500,0.919999
949,0,180,338,33,2500,0.73
948,0,180,303,32,2500,0.22
947,0,180,411,31,2500,0.73
946,0,180,447,30,2500,0.24
945,0,180,314,29,2500,0.61
944,0,180,368,28,2500,0.75
943,0,180,380,27,2500,0.75
942,0,180,365,26,2500,0.35
941,0,180,372,25,2500,0.58
940,0,180,385,24,2500,0.67
939,0,180,383,23,2500,0.879999
938,0,180,496,22,2500,0.0
937,0,180,412,21,2500,0.64
936,0,180,382,20,2500,0.35
935,0,180,413,19,2500,0.82
934,0,180,393,18,2500,0.33
933,0,180,495,17,2500,0.0
932,0,180,425,16,2500,0.48
931,0,180,293,15,2500,0.17
930,0,180,419,14,2500,0.59
929,0,180,429,13,2500,0.74
928,0,180,434,12,2500,0.72
927,0,180,429,11,2500,0.55
926,0,180,446,10,2500,0.73
925,0,180,405,9,2500,0.88
924,0,180,417,8,2500,0.46
923,0,180,502,7,2500,0.18
922,0,180,464,6,2500,0.76
921,0,180,495,5,2500,0.939999
920,0,180,490,4,2500,0.2
919,0,180,486,3,2500,0.52
918,0,180,518,2,2500,0.3
917,0,180,505,1,2500,0.51
1007,0,180,511,1,3000,0.7
1008,0,180,520,2,3000,0.66
1009,0,180,516,3,3000,0.8
1010,0,180,514,4,3000,0.73
1011,0,180,507,5,3000,0.35
1012,0,180,488,6,3000,0.35
1013,0,180,475,7,3000,0.78
1014,0,180,429,8,3000,0.57
1015,0,180,210,9,3000,0.38
1016,0,180,452,10,3000,0.72
1017,0,180,413,11,3000,0.889999
1018,0,180,404,12,3000,0.75
1019,0,180,438,13,3000,0.39
1020,0,180,441,14,3000,0.68
1021,0,180,444,15,3000,0.74
1022,0,180,415,16,3000,0.71
1023,0,180,434,17,3000,0.54
1024,0,180,419,18,3000,0.2
1025,0,180,462,19,3000,0.35
1026,0,180,422,20,3000,0.42
1027,0,180,416,21,3000,0.839999
1028,0,180,412,22,3000,0.29
1029,0,180,415,23,3000,0.43
1030,0,180,408,24,3000,0.949999
1031,0,180,509,25,3000,0.0
1032,0,180,365,26,3000,0.58
1033,0,180,433,27,3000,0.56
1034,0,180,383,28,3000,0.32
1035,0,180,379,29,3000,0.38
1036,0,180,282,30,3000,0.31
1037,0,180,374,31,3000,0.86
1038,0,180,337,32,3000,0.27
1039,0,180,374,33,3000,0.23
1040,0,180,505,34,3000,0.0
1041,0,180,331,35,3000,0.35
1042,0,180,263,36,3000,0.44
1043,0,180,286,37,3000,0.57
1044,0,180,288,38,3000,0.44
1045,0,180,283,39,3000,0.67
1046,0,180,391,40,3000,0.899999
1047,0,180,300,41,3000,0.57
1048,0,180,271,42,3000,0.29
1049,0,180,286,43,3000,0.53
1050,0,180,508,44,3000,0.01
1051,0,180,509,45,3000,0.01
1052,0,180,240,46,3000,0.44
1053,0,180,243,47,3000,0.3
1054,0,180,241,48,3000,0.32
1055,0,180,235,49,3000,0.33
1056,0,180,241,50,3000,0.38
1057,0,180,253,51,3000,0.22
1058,0,180,239,52,3000,0.25
1059,0,180,294,53,3000,0.859999
1060,0,180,254,54,3000,0.4
1061,0,180,286,55,3000,0.24
1062,0,180,262,56,3000,0.3
1063,0,180,225,57,3000,0.27
1064,0,180,225,58,3000,0.32
1065,0,180,214,59,3000,0.32
1066,0,180,281,60,3000,0.29
1067,0,180,238,61,3000,0.29
1068,0,180,306,62,3000,0.4
1069,0,180,205,63,3000,0.31
1070,0,180,239,64,3000,0.24
1071,0,180,203,65,3000,0.3
1072,0,180,202,66,3000,0.34
1073,0,180,187,67,3000,0.31
1074,0,180,186,68,3000,0.31
1075,0,180,206,69,3000,0.26
1076,0,180,193,70,3000,0.32
1077,0,180,190,71,3000,0.3
1078,0,180,189,72,3000,0.3
1079,0,180,203,73,3000,0.27
1080,0,180,220,74,3000,0.28
1081,0,180,211,75,3000,0.32
1082,0,180,193,76,3000,0.34
1083,0,180,204,77,3000,0.27
1084,0,180,178,78,3000,0.3
1085,0,180,186,79,3000,0.31
1086,0,180,184,80,3000,0.31
1087,0,180,179,81,3000,0.32
1088,0,180,182,82,3000,0.3
1089,0,180,197,83,3000,0.24
1090,0,180,177,84,3000,0.31
1091,0,180,201,85,3000,0.31
1092,0,180,210,86,3000,0.29
1093,0,180,161,87,3000,0.3
1094,0,180,178,88,3000,0.3
1095,0,180,181,89,3000,0.28
1096,0,180,184,90,3000,0.3
1186,0,180,179,90,3500,0.3
1185,0,180,296,89,3500,0.3
1184,0,180,222,88,3500,0.23
1183,0,180,214,87,3500,0.2
1182,0,180,223,86,3500,0.3
1181,0,180,236,85,3500,0.26
1180,0,180,178,84,3500,0.31
1179,0,180,186,83,3500,0.28
1178,0,180,191,82,3500,0.26
1177,0,180,193,81,3500,0.3
1176,0,180,177,80,3500,0.3
1175,0,180,178,79,3500,0.3
1174,0,180,180,78,3500,0.3
1173,0,180,191,77,3500,0.31
1172,0,180,243,76,3500,0.21
1171,0,180,203,75,3500,0.33
1170,0,180,212,74,3500,0.27
1169,0,180,205,73,3500,0.3
1168,0,180,221,72,3500,0.35
1167,0,180,193,71,3500,0.3
1166,0,180,191,70,3500,0.28
1165,0,180,194,69,3500,0.28
1164,0,180,190,68,3500,0.33
1163,0,180,302,67,3500,0.41
1162,0,180,387,66,3500,0.44
1161,0,180,218,65,3500,0.27
1160,0,180,277,64,3500,0.23
1159,0,180,197,63,3500,0.31
1158,0,180,208,62,3500,0.3
1157,0,180,234,61,3500,0.25
1156,0,180,289,60,3500,0.19
1155,0,180,230,59,3500,0.33
1154,0,180,301,58,3500,0.45
1153,0,180,314,57,3500,0.52
1152,0,180,285,56,3500,0.33
1151,0,180,240,55,3500,0.33
1150,0,180,219,54,3500,0.32
1149,0,180,246,53,3500,0.25
1148,0,180,321,52,3500,0.53
1147,0,180,304,51,3500,0.25
1146,0,180,235,50,3500,0.36
1145,0,180,284,49,3500,0.42
1144,0,180,260,48,3500,0.29
1143,0,180,258,47,3500,0.28
1142,0,180,264,46,3500,0.53
1141,0,180,302,45,3500,0.56
1140,0,180,307,44,3500,0.61
1139,0,180,433,43,3500,0.44
1138,0,180,263,42,3500,0.28
1137,0,180,397,41,3500,0.969999
1136,0,180,270,40,3500,0.35
1135,0,180,270,39,3500,0.3
1134,0,180,352,38,3500,0.62
1133,0,180,368,37,3500,0.81
1132,0,180,298,36,3500,0.51
1131,0,180,379,35,3500,0.52
1130,0,180,391,34,3500,0.45
1129,0,180,337,33,3500,0.71
1128,0,180,393,32,3500,0.78
1127,0,180,368,31,3500,0.62
1126,0,180,374,30,3500,0.53
1125,0,180,406,29,3500,0.51
1124,0,180,416,28,3500,0.58
1123,0,180,427,27,3500,0.5
1122,0,180,511,26,3500,0.01
1121,0,180,456,25,3500,0.2
1120,0,180,407,24,3500,0.83
1119,0,180,509,23,3500,0.02
1118,0,180,441,22,3500,0.55
1117,0,180,423,21,3500,0.48
1116,0,180,510,20,3500,0.0
1115,0,180,426,19,3500,0.879999
1114,0,180,455,18,3500,0.51
1113,0,180,508,17,3500,0.01
1112,0,180,440,16,3500,0.77
1111,0,180,422,15,3500,0.53
1110,0,180,445,14,3500,0.65
1109,0,180,411,13,3500,0.75
1108,0,180,464,12,3500,0.65
1107,0,180,452,11,3500,0.7
1106,0,180,442,10,3500,0.869999
1105,0,180,426,9,3500,0.879999
1104,0,180,290,8,3500,0.76
1103,0,180,490,7,3500,0.31
1102,0,180,500,6,3500,0.51
1101,0,180,523,5,3500,0.3
1100,0,180,517,4,3500,0.37
1099,0,180,521,3,3500,0.15
1098,0,180,522,2,3500,0.72
1097,0,180,514,1,3500,0.61
1187,0,180,524,1,4000,0.3
1188,0,180,511,2,4000,0.45
1189,0,180,515,3,4000,0.5
1190,0,180,517,4,4000,0.58
1191,0,180,512,5,4000,0.19
1192,0,180,507,6,4000,0.65
1193,0,180,261,7,4000,0.62
1194,0,180,516,8,4000,0.3
1195,0,180,483,9,4000,0.67
1196,0,180,508,10,4000,0.46
1197,0,180,451,11,4000,0.51
1198,0,180,425,12,4000,0.899999
1199,0,180,435,13,4000,0.69
1200,0,180,436,14,4000,0.79
1201,0,180,456,15,4000,0.48
1202,0,180,464,16,4000,0.36
1203,0,180,447,17,4000,0.59
1204,0,180,411,18,4000,0.55
1205,0,180,473,19,4000,0.75
1206,0,180,512,20,4000,0.0
1207,0,180,445,21,4000,0.61
1208,0,180,412,22,4000,0.27
1209,0,180,513,23,4000,0.01
1210,0,180,512,24,4000,0.01
1211,0,180,512,25,4000,0.01
1212,0,180,425,26,4000,0.76
1213,0,180,366,27,4000,0.47
1214,0,180,351,28,4000,0.24
1215,0,180,347,29,4000,0.31
1216,0,180,353,30,4000,0.61
1217,0,180,391,31,4000,0.49
1218,0,180,336,32,4000,0.25
1219,0,180,407,33,4000,0.46
1220,0,180,413,34,4000,0.56
1221,0,180,311,35,4000,0.64
1222,0,180,426,36,4000,0.2
1223,0,180,411,37,4000,0.84
1224,0,180,353,38,4000,0.57
1225,0,180,262,39,4000,0.45
1226,0,180,298,40,4000,0.34
1227,0,180,367,41,4000,0.45
1228,0,180,328,42,4000,0.63
1229,0,180,267,43,4000,0.34
1230,0,180,244,44,4000,0.31
1231,0,180,359,45,4000,0.31
1232,0,180,275,46,4000,0.24
1233,0,180,239,47,4000,0.33
1234,0,180,253,48,4000,0.3
1235,0,180,257,49,4000,0.31
1236,0,180,277,50,4000,0.25
1237,0,180,286,51,4000,0.23
1238,0,180,237,52,4000,0.29
1239,0,180,234,53,4000,0.33
1240,0,180,226,54,4000,0.32
1241,0,180,262,55,4000,0.3
1242,0,180,310,56,4000,0.61
1243,0,180,230,57,4000,0.33
1244,0,180,240,58,4000,0.33
1245,0,180,260,59,4000,0.27
1246,0,180,286,60,4000,0.3
1247,0,180,217,61,4000,0.32
1248,0,180,338,62,4000,0.42
1249,0,180,204,63,4000,0.25
1250,0,180,225,64,4000,0.26
1251,0,180,215,65,4000,0.36
1252,0,180,364,66,4000,0.23
1253,0,180,194,67,4000,0.3
1254,0,180,199,68,4000,0.27
1255,0,180,194,69,4000,0.28
1256,0,180,200,70,4000,0.3
1257,0,180,209,71,4000,0.31
1258,0,180,209,72,4000,0.3
1259,0,180,217,73,4000,0.27
1260,0,180,208,74,4000,0.27
1261,0,180,210,75,4000,0.34
1262,0,180,202,76,4000,0.33
1263,0,180,193,77,4000,0.3
1264,0,180,180,78,4000,0.3
1265,0,180,175,79,4000,0.31
1266,0,180,187,80,4000,0.31
